targetId,targetId,SB_UID,specRef,fieldRef,paramRef
X33138378,X33138378,uid://A001/X2c0/X3890,X5037442,X19880681,X2197284
X23503447,X23503447,uid://A001/X2c0/X3890,X5037442,X16770483,X21304876
X24701633,X24701633,uid://A001/X2c0/X3891,X14291537,X26714047,X14621387
X5462182,X5462182,uid://A001/X2c0/X3891,X14291537,X14308923,X28999829
X4435640,X4435640,uid://A001/X2c0/X3891,X6067009,X5163098,X878747
X2258768,X2258768,uid://A001/X2c0/X3891,X6067009,X5700015,X8426795
X32693770,X32693770,uid://A001/X2c0/X3891,X6067009,X5700015,X6059836
X6583779,X6583779,uid://A001/X2c0/X3891,X6067009,X23324984,X19676459
X1841544,X1841544,uid://A001/X2c0/X3891,X6067009,X20726045,X12055997
X23483609,X23483609,uid://A001/X2c0/X3892,X23446776,X14186215,X27198248
X21974185,X21974185,uid://A001/X2c0/X3892,X23446776,X29718551,X21262203
X4781869,X4781869,uid://A001/X2c0/X3892,X31586850,X9417566,X22155229
X3502115,X3502115,uid://A001/X2c0/X3892,X31586850,X32266926,X32635835
X19683785,X19683785,uid://A001/X2c0/X3892,X31586850,X32266926,X28574490
X22977640,X22977640,uid://A001/X2c0/X3892,X31586850,X14537561,X21237164
X16404592,X16404592,uid://A001/X2c0/X3892,X31586850,X7086293,X5428317
X20359893,X20359893,uid://A001/X2c0/X3893,X11162166,X9606160,X28374843
X7826510,X7826510,uid://A001/X2c0/X3893,X11162166,X11372277,X29995854
X8470609,X8470609,uid://A001/X2c0/X3893,X30448764,X26283844,X14232300
X26411956,X26411956,uid://A001/X2c0/X3893,X30448764,X7478298,X23423488
X2778514,X2778514,uid://A001/X2c0/X3893,X30448764,X7478298,X25164995
X6389909,X6389909,uid://A001/X2c0/X3893,X30448764,X2208460,X25997978
X6969542,X6969542,uid://A001/X2c0/X3893,X30448764,X17435699,X12862525
X21210810,X21210810,uid://A001/X2c0/X3894,X4398956,X27196982,X31336165
X4233425,X4233425,uid://A001/X2c0/X3894,X4398956,X8073918,X17282917
X13016855,X13016855,uid://A001/X2c0/X3894,X2872667,X31113541,X27221529
X20909449,X20909449,uid://A001/X2c0/X3894,X2872667,X33521736,X3306797
X4968090,X4968090,uid://A001/X2c0/X3894,X2872667,X33521736,X3407022
X8885455,X8885455,uid://A001/X2c0/X3894,X2872667,X17094182,X28827841
X14613525,X14613525,uid://A001/X2c0/X3894,X2872667,X20626832,X13871651
X17178517,X17178517,uid://A001/X2c0/X3895,X17864187,X5411417,X14215032
X6312273,X6312273,uid://A001/X2c0/X3895,X17864187,X32682356,X3159394
X14091312,X14091312,uid://A001/X2c0/X3895,X15316709,X1446272,X22334436
X5101758,X5101758,uid://A001/X2c0/X3895,X15316709,X16207531,X23798242
X14751335,X14751335,uid://A001/X2c0/X3895,X15316709,X16207531,X1914353
X17733467,X17733467,uid://A001/X2c0/X3895,X15316709,X4722673,X17042027
X6369197,X6369197,uid://A001/X2c0/X3895,X15316709,X13815718,X19522222
X4253064,X4253064,uid://A001/X2c0/X3896,X25140698,X30757650,X7427510
X11753610,X11753610,uid://A001/X2c0/X3896,X25140698,X32099715,X32025126
X3765653,X3765653,uid://A001/X2c0/X3896,X22600875,X14572354,X22852299
X10139957,X10139957,uid://A001/X2c0/X3896,X22600875,X24736690,X27368645
X19578114,X19578114,uid://A001/X2c0/X3896,X22600875,X24736690,X15918960
X31875618,X31875618,uid://A001/X2c0/X3896,X22600875,X4801376,X12999209
X16956664,X16956664,uid://A001/X2c0/X3896,X22600875,X28839208,X6363585
X17391641,X17391641,uid://A001/X2c0/X3897,X1498834,X23814759,X22633889
X362152,X362152,uid://A001/X2c0/X3897,X1498834,X16965902,X10417959
X3436725,X3436725,uid://A001/X2c0/X3897,X7980882,X26008033,X6142645
X31406768,X31406768,uid://A001/X2c0/X3897,X7980882,X7384762,X7162632
X31068531,X31068531,uid://A001/X2c0/X3897,X7980882,X7384762,X23857702
X20530285,X20530285,uid://A001/X2c0/X3897,X7980882,X23403675,X3956371
X28977694,X28977694,uid://A001/X2c0/X3897,X7980882,X3723587,X28473916
X26503205,X26503205,uid://A001/X2c0/X3898,X18291854,X30946641,X6162264
X20415383,X20415383,uid://A001/X2c0/X3898,X18291854,X33395930,X15446553
X8670612,X8670612,uid://A001/X2c0/X3898,X2186376,X21851724,X22966530
X5927403,X5927403,uid://A001/X2c0/X3898,X2186376,X4162962,X6428736
X12005357,X12005357,uid://A001/X2c0/X3898,X2186376,X4162962,X3334884
X19007781,X19007781,uid://A001/X2c0/X3898,X2186376,X29279154,X20858715
